example_QUERY
show me the waterspread level of kadam
show me the waterspread level of alisagar
show me the waterspread level of himayatsagar
show me the waterspread level of hussansagar
show me the waterspread level of karukonda
show me the waterspread level of manjeera
show me the waterspread level of musi
show me the waterspread level of osmansagar
show me the waterspread level of pakhal
show me the waterspread level of paler
show me the waterspread level of panagal
show me the waterspread level of pocharam
show me the waterspread level of ramanpahad
show me the waterspread level of sathnala
show me the waterspread level of shanigaram
show me the waterspread level of sriramsagar
show me the waterspread level of swarna
show me the waterspread level of thapaspally
show me the waterspread level of vattivagu
show me the waterspread level of bhimghanpur
show me the waterspread level of dindi
show me the waterspread level of jonalabogudu
show me the waterspread level of kinnersani
show me the waterspread level of mylaram
show me the waterspread level of nagarjunasagardam
show me the waterspread level of nizamsagar
show me the waterspread level of shankarasamudaram
show me the waterspread level of singotam
show me the waterspread level of thotapally
show me the waterspread level of wyra
